,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Kelas
0,13.85030095,2.155434252,0.448257426,0.037777396,0.997216096,0
1,17.42116433,2.459471095,0.415855164,0.039907399,0.995962163,0
2,13.27190893,2.151083923,0.44194595,0.043507528,0.996968969,0
3,25.66829382,2.732310256,0.399305496,0.034169594,0.994798278,0
4,31.6211722,3.067138366,0.372178391,0.04423109,0.99239498,0
5,29.20058607,3.028625293,0.379557643,0.034532042,0.992974684,0
6,21.0038145,2.520729456,0.416332205,0.048372524,0.994430727,0
7,23.78141776,2.72936121,0.392414114,0.045228505,0.993568271,0
8,30.78491004,2.954111742,0.409772259,0.033197931,0.996158863,0
9,27.7079276,2.914289437,0.392628372,0.033251505,0.995244629,0
10,15.41510706,2.298287656,0.428353996,0.045231529,0.99606899,0
11,41.84369299,2.95834021,0.421709212,0.054458419,0.994600866,0
12,25.89634132,2.70352404,0.423745021,0.054720425,0.996756061,0
13,27.61460025,2.977756634,0.378758103,0.047116133,0.99635365,0
14,17.72128598,1.961332009,0.512747091,0.057121429,0.992294229,0
15,11.0772862,1.500281228,0.579402112,0.069789299,0.994322848,0
16,12.18150055,1.935050111,0.483683909,0.055276186,0.993295662,0
17,5.007729706,1.401643122,0.539605436,0.069369242,0.991680395,0
18,3.541920116,1.154768122,0.58926245,0.070233535,0.995216568,0
19,3.405790425,1.090786516,0.602609939,0.06410337,0.997526265,0
20,26.97344727,3.27535995,0.314066883,0.034414374,0.981571844,0
21,16.70637867,2.528753692,0.38150278,0.038774648,0.988469871,0
22,26.71599581,3.225038004,0.330969686,0.032941142,0.989516675,0
23,14.71908162,2.31281018,0.405331864,0.038284464,0.993111249,0
24,20.36930296,2.366685035,0.453674811,0.039432416,0.997920847,0
25,20.36930296,2.366685035,0.453674811,0.039432416,0.997920847,0
26,22.97452848,2.607400159,0.420460377,0.052723164,0.995348976,0
27,23.89985803,2.284723278,0.479074521,0.044254297,0.997970472,0
28,22.80615906,2.581994603,0.426635674,0.055004812,0.99542409,0
29,24.05387612,2.744343674,0.405803702,0.043378518,0.994318472,0
30,23.64557093,2.647321273,0.44289556,0.042485672,0.994496896,0
31,70.38548207,4.243676458,0.359265965,0.025534357,0.99014408,0
32,26.24026095,2.676003539,0.451076899,0.035558789,0.995139849,0
33,41.6794022,3.504092197,0.361778341,0.032339794,0.991839037,0
34,58.30825518,3.744348378,0.391660425,0.026467483,0.991158164,0
35,110.8723585,5.135304736,0.337703501,0.037194931,0.987962093,0
36,13.49740678,2.118813249,0.47307265,0.040766026,0.998541962,0
37,42.87413704,3.047312315,0.459911524,0.035373911,0.99447101,0
38,69.72414709,3.962013551,0.420097012,0.040087091,0.992299427,0
39,34.0551354,2.985179595,0.450469531,0.040194693,0.99445542,0
40,32.57678319,3.05829922,0.42765542,0.034259058,0.994192749,0
41,13.41185475,2.215728425,0.448841382,0.037387692,0.996816525,0
42,43.49964846,3.3176107,0.411691015,0.036560321,0.989152192,0
43,19.69061849,2.360277862,0.472885667,0.052881193,0.998069067,0
44,29.49100558,2.674387053,0.463595718,0.051547925,0.997140962,0
45,33.25398904,2.923850927,0.447444786,0.047188966,0.996871058,0
46,8.184415,1.208329685,0.640351474,0.097098074,0.998663644,0
47,7.828461878,1.175656954,0.649291031,0.096892635,0.998758815,0
48,7.354646691,1.137573603,0.65343669,0.101004179,0.998851223,0
49,23.68919456,2.502256563,0.447283735,0.058210655,0.997421369,0
50,10.00369619,1.480648393,0.570203956,0.064802735,0.998599754,0
51,40.22702427,4.156660403,0.269518834,0.024295176,0.9814631,0
52,15.10913404,2.577058711,0.36133817,0.028975434,0.994237819,0
53,12.83280582,2.274324064,0.407420403,0.03055567,0.995483925,0
54,13.10404908,1.907847606,0.508940664,0.062307903,0.996818138,0
55,9.783348722,1.802616177,0.505739372,0.062215759,0.997676455,0
56,11.58874285,1.845770495,0.508711036,0.065636881,0.997084951,0
57,8.812311037,1.808671109,0.487622676,0.057809817,0.997330344,0
58,9.623709985,1.889763885,0.47870771,0.061213806,0.997308506,0
59,11.15473417,1.97014252,0.4784361,0.058301719,0.997085418,0
60,19.04692495,2.046761531,0.517353205,0.070290062,0.995126209,0
61,11.09845181,1.700743292,0.584612477,0.088925183,0.996251425,0
62,25.61387858,2.081863575,0.57825088,0.082825882,0.992130617,0
63,11.45821176,1.672900113,0.589173548,0.082000065,0.996480002,0
64,38.61537574,2.541458523,0.504549253,0.064991934,0.989835485,0
65,16.58212952,1.944406923,0.530162071,0.071553962,0.99484957,0
66,22.23230515,2.105134588,0.520856463,0.067821245,0.993577878,0
67,14.10388996,1.844719097,0.566180485,0.078654775,0.996034654,0
68,41.69654867,2.609364009,0.492983566,0.06701156,0.988698645,0
69,30.63936976,2.367627871,0.512235524,0.066942513,0.992548672,0
70,38.2496559,2.533568343,0.500258433,0.062057881,0.992736413,0
71,21.0772638,2.158124376,0.51898013,0.065464507,0.995440003,0
72,26.52111013,2.168210781,0.554992466,0.07124905,0.994183736,0
73,24.72769148,3.362488327,0.295568036,0.031073779,0.98524301,0
74,57.73575101,5.097818309,0.225315431,0.02547699,0.965518596,0
